qck1per,qck2per,qck3per,ck1-ck2-ck3,ck2-ck1-ck3,ck2-ck3-ck1,ck3-ck1-ck2,ck1-ck3-ck2,ck3-ck2-ck1,
10,0,0,4554.841973,3332.356133,3415.370864,3408.027823,4280.337088,3338.862251,
9,1,0,4075.998801,3672.356891,3635.782813,3489.447843,4054.463808,3406.944382,
9,0,1,3967.269203,3511.860601,3402.38926,3719.499174,4084.531768,3759.137959,
8,2,0,3947.167736,3866.795056,3923.538795,3480.049508,4033.846695,3519.687199,
8,1,1,3983.750567,3681.076936,3671.482408,3663.799127,3956.080327,3739.533176,
8,0,2,4007.243851,3435.709368,3444.968033,3918.035889,4005.874506,3838.353899,
7,3,0,3904.026639,4129.124262,4057.702098,3472.788517,3943.968466,3483.730875,
7,2,1,3984.129461,3914.071537,3834.974481,3829.840988,3943.048397,3792.27026,
7,1,2,3943.790871,3735.308812,3677.386452,3867.777847,3900.00248,3798.026612,
7,0,3,4038.878443,3347.86674,3564.153515,3932.437528,3977.80969,3937.408741,
6,4,0,3927.492936,4308.398257,4227.664916,3455.818858,3846.707082,3459.553102,
6,3,1,3805.449517,4048.324914,3977.515401,3640.065524,3855.703912,3795.040675,
6,2,2,3856.372357,3682.017791,3940.49168,3849.144187,3855.3345,3786.190079,
6,1,3,3860.396151,3570.054642,3745.901448,4096.229361,3769.01839,4128.300467,
6,0,4,3911.091435,3452.043769,3417.27956,4140.625296,3879.578643,4168.709804,
5,5,0,3771.449295,4534.176359,4539.957509,3507.786848,3736.809438,3570.673491,
5,4,1,3853.478682,4254.366221,4254.822062,3785.48152,3794.335764,3718.885795,
5,3,2,3798.025518,4079.032145,4106.889462,3836.097671,3807.73273,3880.368158,
5,2,3,3829.717365,3862.487182,3845.505487,4001.720524,3796.189758,4027.462377,
5,1,4,3777.022582,3753.957059,3800.275546,4128.388717,3788.851822,4105.58977,
5,0,5,3818.51062,3476.124176,3434.268183,4192.730768,3836.303346,4168.105178,
4,6,0,3730.830636,4706.405615,4680.740343,3358.072823,3698.277799,3503.225526,
4,5,1,3754.959543,4476.266397,4444.451292,3760.574767,3794.193907,3807.394314,
4,4,2,3709.642446,4343.454205,4263.337889,3872.346462,3761.881753,3920.685234,
4,3,3,3798.801177,4103.586625,4085.874492,4046.918738,3748.160593,4071.492181,
4,2,4,3721.348792,3865.146737,3897.33162,4154.29832,3715.154468,4115.917289,
4,1,5,3851.90038,3771.066754,3667.483046,4215.793009,3643.751997,4114.654065,
4,0,6,3760.107622,3479.06234,3430.109096,4222.866193,3855.147422,4275.459596,
3,7,0,3633.280796,4711.572657,4838.80755,3474.150204,3726.138032,3446.9916,
3,6,1,3749.70498,4675.169609,4769.741535,3780.100416,3653.713385,3697.599872,
3,5,2,3711.742594,4546.601108,4491.01411,3886.364465,3756.537845,3869.804332,
3,4,3,3739.729005,4313.73706,4294.298203,4102.700471,3683.595363,3914.220688,
3,3,4,3812.556615,4098.845521,4101.347172,4136.462197,3776.588621,4184.947932,
3,2,5,3707.255666,3897.901603,3891.056339,4483.832254,3701.754585,4272.907984,
3,1,6,3737.813381,3697.653844,3702.334414,4344.772861,3789.728494,4283.817886,
3,0,7,3708.24721,3493.330143,3406.147208,4682.538907,3817.252501,4235.155284,
2,8,0,3658.457407,5081.900658,5169.803457,3453.55096,3702.864647,3477.57156,
2,7,1,3620.265642,4933.505289,4898.463927,3648.631677,3685.129903,3810.612548,
2,6,2,3617.398953,4720.568757,4757.986688,3926.366463,3788.352585,3921.757735,
2,5,3,3690.359304,4478.32789,4535.650364,4082.321124,3626.430792,3998.349493,
2,4,4,3716.411128,4288.382124,4259.608751,4222.376073,3690.019795,4049.755159,
2,3,5,3675.815809,4013.652966,4148.641522,4412.455309,3587.442217,4147.87097,
2,2,6,3687.908342,3904.863926,3956.232031,4164.898979,3715.416667,4164.784472,
2,1,7,3701.505513,3714.824804,3741.308401,4712.333727,3729.066716,4292.351218,
2,0,8,3731.444014,3535.948301,3363.080504,4745.705983,3701.149593,4621.876035,
